rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
6891	C8orf38	chromosome 8 open reading frame 38	1036	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6892	C8orf4	chromosome 8 open reading frame 4	323	43	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6893	C8orf40	chromosome 8 open reading frame 40	336	41	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6894	C8orf41	chromosome 8 open reading frame 41	1555	22	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6895	C8orf42	chromosome 8 open reading frame 42	566	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6896	C8orf45	chromosome 8 open reading frame 45	2124	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6897	C8orf46	chromosome 8 open reading frame 46	644	46	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6898	C8orf47	chromosome 8 open reading frame 47	1133	60	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6899	C8orf55	chromosome 8 open reading frame 55	631	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6900	C8orf58	chromosome 8 open reading frame 58	1122	55	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6901	C8orf59	chromosome 8 open reading frame 59	311	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6902	C8orf73	chromosome 8 open reading frame 73	2214	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6903	C8orf74	chromosome 8 open reading frame 74	899	37	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6904	C8orf76	chromosome 8 open reading frame 76	1165	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6905	C8orf79	chromosome 8 open reading frame 79	1376	90	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6906	C8orf80	chromosome 8 open reading frame 80	2463	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6907	C8orf84		811	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6908	C8orf85		474	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6909	C8orf86	chromosome 8 open reading frame 86	682	100	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6910	C9	complement component 9	1722	25	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6911	C9orf100	chromosome 9 open reading frame 100	1462	102	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6912	C9orf102	chromosome 9 open reading frame 102	2191	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6913	C9orf103	chromosome 9 open reading frame 103	438	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6914	C9orf106	chromosome 9 open reading frame 106	705	398	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6915	C9orf11	chromosome 9 open reading frame 11	917	46	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6916	C9orf114	chromosome 9 open reading frame 114	1182	40	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6917	C9orf116	chromosome 9 open reading frame 116	586	102	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6918	C9orf119	chromosome 9 open reading frame 119	884	111	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6919	C9orf123	chromosome 9 open reading frame 123	345	200	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6920	C9orf125	chromosome 9 open reading frame 125	1216	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6921	C9orf128	chromosome 9 open reading frame 128	1231	29	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6922	C9orf129	chromosome 9 open reading frame 129	610	11	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6923	C9orf131	chromosome 9 open reading frame 131	3262	70	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6924	C9orf135	chromosome 9 open reading frame 135	714	19	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6925	C9orf139	chromosome 9 open reading frame 139	1337	57	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6926	C9orf140	chromosome 9 open reading frame 140	1205	331	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6927	C9orf150	chromosome 9 open reading frame 150	691	573	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6928	C9orf152	chromosome 9 open reading frame 152	724	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6929	C9orf153	chromosome 9 open reading frame 153	320	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6930	C9orf156	chromosome 9 open reading frame 156	1344	65	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6931	C9orf16	chromosome 9 open reading frame 16	256	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6932	C9orf163	chromosome 9 open reading frame 163	612	89	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6933	C9orf167	chromosome 9 open reading frame 167	1276	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6934	C9orf171	chromosome 9 open reading frame 171	989	147	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6935	C9orf173	chromosome 9 open reading frame 173	949	116	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6936	C9orf21	chromosome 9 open reading frame 21	703	50	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6937	C9orf23	chromosome 9 open reading frame 23	812	28	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6938	C9orf24	chromosome 9 open reading frame 24	921	2	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6939	C9orf25	chromosome 9 open reading frame 25	587	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6940	C9orf30	chromosome 9 open reading frame 30	836	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6941	C9orf37	chromosome 9 open reading frame 37	533	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6942	C9orf4	chromosome 9 open reading frame 4	1051	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6943	C9orf40	chromosome 9 open reading frame 40	589	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6944	C9orf43	chromosome 9 open reading frame 43	1816	30	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6945	C9orf46	chromosome 9 open reading frame 46	460	146	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6946	C9orf47	chromosome 9 open reading frame 47	619	70	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6947	C9orf5	chromosome 9 open reading frame 5	2710	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6948	C9orf50	chromosome 9 open reading frame 50	1320	11	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6949	C9orf6	chromosome 9 open reading frame 6	568	52	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6950	C9orf66	chromosome 9 open reading frame 66	888	53	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6951	C9orf68	chromosome 9 open reading frame 68	1728	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6952	C9orf69	chromosome 9 open reading frame 69	412	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6953	C9orf7	chromosome 9 open reading frame 7	754	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6954	C9orf71	chromosome 9 open reading frame 71	519	272	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6955	C9orf78	chromosome 9 open reading frame 78	904	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6956	C9orf79	chromosome 9 open reading frame 79	4354	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6957	C9orf80	chromosome 9 open reading frame 80	331	110	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6958	C9orf82	chromosome 9 open reading frame 82	1106	82	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6959	C9orf86	chromosome 9 open reading frame 86	2492	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6960	C9orf89	chromosome 9 open reading frame 89	572	56	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6961	C9orf9	chromosome 9 open reading frame 9	611	286	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6962	C9orf91	chromosome 9 open reading frame 91	1061	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6963	C9orf93	chromosome 9 open reading frame 93	4079	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6964	C9orf95	chromosome 9 open reading frame 95	648	47	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6965	C9orf96	chromosome 9 open reading frame 96	2113	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6966	C9orf98	chromosome 9 open reading frame 98	1488	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6967	CA1	carbonic anhydrase I	816	28	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6968	CA11	carbonic anhydrase XI	1019	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6969	CA12	carbonic anhydrase XII	1105	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6970	CA13	carbonic anhydrase XIII	813	2	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6971	CA14	carbonic anhydrase XIV	1054	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6972	CA2	carbonic anhydrase II	807	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6973	CA4	carbonic anhydrase IV	969	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6974	CA5A	carbonic anhydrase VA, mitochondrial	944	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6975	CA5B	carbonic anhydrase VB, mitochondrial	982	38	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6976	CA6	carbonic anhydrase VI	957	67	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6977	CA7	carbonic anhydrase VII	819	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6978	CA9	carbonic anhydrase IX	1422	97	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6979	CAB39	calcium binding protein 39	1058	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6980	CAB39L	calcium binding protein 39-like	1046	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6981	CABC1	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	2000	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6982	CABIN1	calcineurin binding protein 1	6807	20	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6983	CABLES2	Cdk5 and Abl enzyme substrate 2	1475	8	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6984	CABP1	calcium binding protein 1	1368	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6985	CABP2	calcium binding protein 2	689	21	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6986	CABP4	calcium binding protein 4	1005	30	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6987	CABP5	calcium binding protein 5	543	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6988	CABP7	calcium binding protein 7	749	5	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6989	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	2106	19	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6990	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	7310	28	1	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6991	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	6126	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6992	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	7547	2	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6993	CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta subunit 3	4072	42	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6994	CACNB1	calcium channel, voltage-dependent, beta 1 subunit	2111	103	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6995	CACNB3	calcium channel, voltage-dependent, beta 3 subunit	1503	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6996	CACNB4	calcium channel, voltage-dependent, beta 4 subunit	1677	54	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6997	CACNG1	calcium channel, voltage-dependent, gamma subunit 1	683	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6998	CACNG2	calcium channel, voltage-dependent, gamma subunit 2	984	47	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
6999	CACNG3	calcium channel, voltage-dependent, gamma subunit 3	960	93	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7000	CACNG4	calcium channel, voltage-dependent, gamma subunit 4	998	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7001	CACNG5	calcium channel, voltage-dependent, gamma subunit 5	1160	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7002	CACNG6	calcium channel, voltage-dependent, gamma subunit 6	795	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7003	CACYBP	calcyclin binding protein	707	48	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7004	CADM1	cell adhesion molecule 1	1365	32	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7005	CADM3	cell adhesion molecule 3	1335	24	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7006	CADPS	Ca2+-dependent secretion activator	4251	11	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7007	CADPS2	Ca2+-dependent activator protein for secretion 2	5367	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7008	CALB2	calbindin 2, 29kDa (calretinin)	858	12	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7009	CALCA	calcitonin-related polypeptide alpha	604	49	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7010	CALCB	calcitonin-related polypeptide beta	400	85	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7011	CALCOCO1	calcium binding and coiled-coil domain 1	2132	25	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7012	CALCOCO2	calcium binding and coiled-coil domain 2	1389	64	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7013	CALCRL	calcitonin receptor-like	1434	31	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7014	CALHM2	calcium homeostasis modulator 2	1110	6	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7015	CALM1	calmodulin 1 (phosphorylase kinase, delta)	470	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7016	CALM2	calmodulin 2 (phosphorylase kinase, delta)	470	68	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7017	CALM3	calmodulin 3 (phosphorylase kinase, delta)	470	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7018	CALML5	calmodulin-like 5	442	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7019	CALN1	calneuron 1	810	106	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7020	CALR3	calreticulin 3	1191	122	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7021	CALU	calumenin	1170	90	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7022	CALY	calcyon neuron-specific vesicular protein	674	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7023	CAMK1	calcium/calmodulin-dependent protein kinase I	1423	25	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7024	CAMK1D	calcium/calmodulin-dependent protein kinase ID	1231	19	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7025	CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	2096	33	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7026	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	241	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7027	CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2	244	22	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7028	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	1698	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7029	CAMKV	CaM kinase-like vesicle-associated	1546	22	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7030	CAMLG	calcium modulating ligand	903	80	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7031	CAMP	cathelicidin antimicrobial peptide	527	80	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7032	CAMSAP1	calmodulin regulated spectrin-associated protein 1	4873	82	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7033	CAMSAP1L1	calmodulin regulated spectrin-associated protein 1-like 1	4501	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7034	CAND2	cullin-associated and neddylation-dissociated 2 (putative)	3769	93	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7035	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	1481	17	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7036	CAPG	capping protein (actin filament), gelsolin-like	1083	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7037	CAPN1	calpain 1, (mu/I) large subunit	2228	29	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7038	CAPN11	calpain 11	2310	13	2	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7039	CAPN12	calpain 12	2240	35	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7040	CAPN13	calpain 13	2098	25	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7041	CAPN2	calpain 2, (m/II) large subunit	2188	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7042	CAPN3	calpain 3, (p94)	3045	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7043	CAPN7	calpain 7	2522	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7044	CAPN9	calpain 9	2153	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7045	CAPNS1	calpain, small subunit 1	850	29	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7046	CAPNS2	calpain, small subunit 2	749	128	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7047	CAPRIN1	cell cycle associated protein 1	2218	1	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7048	CAPS	calcyphosine	590	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7049	CAPSL	calcyphosine-like	641	109	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7050	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	1105	36	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7051	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	898	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7052	CAPZB	capping protein (actin filament) muscle Z-line, beta	851	0	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7053	CARD10	caspase recruitment domain family, member 10	3177	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7054	CARD14	caspase recruitment domain family, member 14	3258	8	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7055	CARD16	caspase recruitment domain family, member 16	632	183	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7056	CARD18	caspase recruitment domain family, member 18	282	318	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7057	CARD8	caspase recruitment domain family, member 8	1660	62	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7058	CARD9	caspase recruitment domain family, member 9	1710	20	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7059	CARHSP1	calcium regulated heat stable protein 1, 24kDa	456	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7060	CARKD	carbohydrate kinase domain containing	1211	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7061	CARNS1	carnosine synthase 1	2889	11	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7062	CARS	cysteinyl-tRNA synthetase	2641	19	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7063	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	1753	0	1	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7064	CARTPT	CART prepropeptide	360	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7065	CASC1	cancer susceptibility candidate 1	2410	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7066	CASC3	cancer susceptibility candidate 3	2164	40	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7067	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	2220	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7068	CASP10	caspase 10, apoptosis-related cysteine peptidase	1758	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7069	CASP14	caspase 14, apoptosis-related cysteine peptidase	751	48	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7070	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	2044	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7071	CASP4	caspase 4, apoptosis-related cysteine peptidase	1168	40	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7072	CASP6	caspase 6, apoptosis-related cysteine peptidase	908	34	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7073	CASP7	caspase 7, apoptosis-related cysteine peptidase	1117	0	2	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7074	CASP8	caspase 8, apoptosis-related cysteine peptidase	1750	1	2	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7075	CASP8AP2	CASP8 associated protein 2	5937	5	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7076	CASP9	caspase 9, apoptosis-related cysteine peptidase	1285	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7077	CASQ1	calsequestrin 1 (fast-twitch, skeletal muscle)	1231	0	1	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7078	CASQ2	calsequestrin 2 (cardiac muscle)	1240	26	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7079	CASS4	Cas scaffolding protein family member 4	2381	23	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7080	CAST	calpastatin	2627	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7081	CATSPER1	cation channel, sperm associated 1	2387	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7082	CATSPER2	cation channel, sperm associated 2	1679	11	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7083	CATSPER3	cation channel, sperm associated 3	1229	37	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7084	CATSPER4	cation channel, sperm associated 4	2092	19	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7085	CATSPERG	catsper channel auxiliary subunit gamma	3592	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7086	CAV1	caveolin 1, caveolae protein, 22kDa	549	72	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7087	CAV2	caveolin 2	535	137	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7088	CAV3	caveolin 3	468	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7089	CBARA1	calcium binding atopy-related autoantigen 1	1480	256	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7090	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	1891	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7091	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	2006	1	3	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7092	CBFB	core-binding factor, beta subunit	615	95	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7093	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	2781	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7094	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	1467	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7095	CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1	1496	68	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7096	CBLN1	cerebellin 1 precursor	590	262	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7097	CBLN2	cerebellin 2 precursor	683	86	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7098	CBLN4	cerebellin 4 precursor	614	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7099	CBR1	carbonyl reductase 1	842	254	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7100	CBR3	carbonyl reductase 3	844	177	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7101	CBWD1	COBW domain containing 1	1296	27	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7102	CBWD2	COBW domain containing 2	1244	67	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7103	CBWD3	COBW domain containing 3	2489	5	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7104	CBWD5	COBW domain containing 5	1093	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7105	CBWD6	COBW domain containing 6	1244	38	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7106	CBX1	chromobox homolog 1 (HP1 beta homolog Drosophila )	574	25	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7107	CBX2	chromobox homolog 2 (Pc class homolog, Drosophila)	1963	30	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7108	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	580	55	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7109	CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	1347	20	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7110	CBX6	chromobox homolog 6	1257	6	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7111	CBX8	chromobox homolog 8 (Pc class homolog, Drosophila)	1188	2	0	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7112	CBY1	chibby homolog 1 (Drosophila)	397	4	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7113	CC2D1A	coiled-coil and C2 domain containing 1A	2968	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7114	CC2D1B	coiled-coil and C2 domain containing 1B	2669	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7115	CC2D2B	coiled-coil and C2 domain containing 2B	1246	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
